s1,lc1(s1),lc1(lc1(s1)),lc2(s1),rc1(s1),rc1(rc1(s1)),rc2(s1),s2,lc1(s2),lc1(lc1(s2)),lc2(s2),rc1(s2),rc1(rc1(s2)),rc2(s2),s3,b1,b2,b3,s1.t,lc1(s1).t,lc1(lc1(s1)).t,lc2(s1).t,rc1(s1).t,rc1(rc1(s1)).t,rc2(s1).t,s2.t,lc1(s2).t,lc1(lc1(s2)).t,lc2(s2).t,rc1(s2).t,rc1(rc1(s2)).t,rc2(s2).t,s3.t,b1.t,b2.t,b3.t,lc1(s1).l,lc1(lc1(s1)).l,lc2(s1).l,rc1(s1).l,rc1(rc1(s1)).l,rc2(s1).l,lc1(s2).l,lc1(lc1(s2)).l,lc2(s2).l,rc1(s2).l,rc1(rc1(s2)).l,rc2(s2).l,transition
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,10,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,188,35,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,47,0,0,0,0,0,0,1,188,35,217,12,0,0,0,0,0,0,19,0,0,0,0,0,0,0,19,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0
188,0,0,0,0,0,0,10,0,0,0,0,0,0,47,35,217,411,19,0,0,0,0,0,0,12,0,0,0,0,0,0,19,6,14,21,0,0,0,0,0,0,0,0,0,0,0,0,69
188,10,0,0,0,0,0,47,0,0,0,0,0,0,1,35,217,411,19,12,0,0,0,0,0,19,0,0,0,0,0,0,0,6,14,21,35,0,0,0,0,0,0,0,0,0,0,0,49
188,47,0,10,0,0,0,1,0,0,0,0,0,0,0,35,217,411,19,19,0,12,0,0,0,0,0,0,0,0,0,0,0,6,14,21,25,0,35,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,188,47,0,10,0,0,0,1,217,411,499,6,0,0,0,0,0,0,19,19,0,12,0,0,0,0,14,21,32,0,0,0,0,0,0,25,0,35,0,0,0,70
188,47,0,10,35,0,0,1,0,0,0,0,0,0,0,217,411,499,19,19,0,12,6,0,0,0,0,0,0,0,0,0,0,14,21,32,25,0,35,35,0,0,0,0,0,0,0,0,0
217,0,0,0,0,0,0,188,47,0,10,35,0,0,1,411,499,166,14,0,0,0,0,0,0,19,19,0,12,6,0,0,0,21,32,19,0,0,0,0,0,0,25,0,35,35,0,0,0
411,0,0,0,0,0,0,217,0,0,0,0,0,0,188,499,166,40,21,0,0,0,0,0,0,14,0,0,0,0,0,0,19,32,19,19,0,0,0,0,0,0,0,0,0,0,0,0,9
411,217,0,0,0,0,0,188,47,0,10,35,0,0,1,499,166,40,21,14,0,0,0,0,0,19,19,0,12,6,0,0,0,32,19,19,5,0,0,0,0,0,25,0,35,35,0,0,0
499,0,0,0,0,0,0,411,217,0,0,0,0,0,188,166,40,209,32,0,0,0,0,0,0,21,14,0,0,0,0,0,19,19,19,19,0,0,0,0,0,0,5,0,0,0,0,0,61
499,411,217,0,0,0,0,188,47,0,10,35,0,0,1,166,40,209,32,21,14,0,0,0,0,19,19,0,12,6,0,0,0,19,19,19,31,5,0,0,0,0,25,0,35,35,0,0,0
166,0,0,0,0,0,0,499,411,217,0,0,0,0,188,40,209,10,19,0,0,0,0,0,0,32,21,14,0,0,0,0,19,19,19,12,0,0,0,0,0,0,31,5,0,0,0,0,0
40,0,0,0,0,0,0,166,0,0,0,0,0,0,499,209,10,52,19,0,0,0,0,0,0,19,0,0,0,0,0,0,32,19,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0
209,0,0,0,0,0,0,40,0,0,0,0,0,0,166,10,52,9,19,0,0,0,0,0,0,19,0,0,0,0,0,0,19,12,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,209,0,0,0,0,0,0,40,52,9,746,12,0,0,0,0,0,0,19,0,0,0,0,0,0,19,19,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,10,0,0,0,0,0,0,209,9,746,621,19,0,0,0,0,0,0,12,0,0,0,0,0,0,19,2,10,18,0,0,0,0,0,0,0,0,0,0,0,0,69
52,10,0,0,0,0,0,209,0,0,0,0,0,0,40,9,746,621,19,12,0,0,0,0,0,19,0,0,0,0,0,0,19,2,10,18,35,0,0,0,0,0,0,0,0,0,0,0,49
52,209,0,10,0,0,0,40,0,0,0,0,0,0,166,9,746,621,19,19,0,12,0,0,0,19,0,0,0,0,0,0,19,2,10,18,25,0,35,0,0,0,0,0,0,0,0,0,49
52,40,0,209,0,0,0,166,0,0,0,0,0,0,499,9,746,621,19,19,0,19,0,0,0,19,0,0,0,0,0,0,32,2,10,18,25,0,25,0,0,0,0,0,0,0,0,0,49
52,166,0,40,0,0,0,499,411,217,0,0,0,0,188,9,746,621,19,19,0,19,0,0,0,32,21,14,0,0,0,0,19,2,10,18,25,0,25,0,0,0,31,5,0,0,0,0,0
9,0,0,0,0,0,0,52,166,0,40,0,0,0,499,746,621,237,2,0,0,0,0,0,0,19,19,0,19,0,0,0,32,10,18,13,0,0,0,0,0,0,25,0,25,0,0,0,70
52,166,0,40,9,0,0,499,411,217,0,0,0,0,188,746,621,237,19,19,0,19,2,0,0,32,21,14,0,0,0,0,19,10,18,13,25,0,25,35,0,0,31,5,0,0,0,0,0
746,0,0,0,0,0,0,52,166,0,40,9,0,0,499,621,237,746,10,0,0,0,0,0,0,19,19,0,19,2,0,0,32,18,13,10,0,0,0,0,0,0,25,0,25,35,0,0,0
621,0,0,0,0,0,0,746,0,0,0,0,0,0,52,237,746,545,18,0,0,0,0,0,0,10,0,0,0,0,0,0,19,13,10,18,0,0,0,0,0,0,0,0,0,0,0,0,35
621,746,0,0,0,0,0,52,166,0,40,9,0,0,499,237,746,545,18,10,0,0,0,0,0,19,19,0,19,2,0,0,32,13,10,18,18,0,0,0,0,0,25,0,25,35,0,0,12
52,166,0,40,621,0,9,499,411,217,0,0,0,0,188,237,746,545,19,19,0,19,18,0,2,32,21,14,0,0,0,0,19,13,10,18,25,0,25,6,0,35,31,5,0,0,0,0,40
499,411,217,0,52,621,0,188,47,0,10,35,0,0,1,237,746,545,32,21,14,0,19,18,0,19,19,0,12,6,0,0,0,13,10,18,31,5,0,20,6,0,25,0,35,35,0,0,0
237,0,0,0,0,0,0,499,411,217,0,52,621,0,188,746,545,468,13,0,0,0,0,0,0,32,21,14,0,19,18,0,19,10,18,13,0,0,0,0,0,0,31,5,0,20,6,0,0
746,0,0,0,0,0,0,237,0,0,0,0,0,0,499,545,468,746,10,0,0,0,0,0,0,13,0,0,0,0,0,0,32,18,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0
545,0,0,0,0,0,0,746,0,0,0,0,0,0,237,468,746,769,18,0,0,0,0,0,0,10,0,0,0,0,0,0,13,13,10,18,0,0,0,0,0,0,0,0,0,0,0,0,35
